,Vehicle ID,Operating,Reporting
0,MAL 0,0.16407923713473643,0.2846668504085339
1,MAL 1,0.07468409491446333,0.3439017214423289
2,MAL 2,0.12177185689760087,0.32670274808475264
3,NORM 3,0.792368435223982,0.8460562902791877
4,NORM 4,0.8461601576458784,0.8341053701969731
5,NORM 5,0.8643708970992632,0.875295142047858
6,NORM 6,0.8255036283890902,0.8553156742413983
7,NORM 7,0.808446839404118,0.8655010991627788
8,NORM 8,0.8451681630234102,0.8470722175202088
9,NORM 9,0.8697660492649111,0.9016977645546119
10,NORM 10,0.7813409913849565,0.8351713840242616
11,NORM 11,0.8211918076096602,0.8344805353995497
12,NORM 12,0.7607290536602447,0.872003347589763
13,NORM 13,0.802457275624745,0.8690433107029403
14,NORM 14,0.8645056257338706,0.8471041572884032
15,NORM 15,0.8726821703687341,0.8351964860469688
16,NORM 16,0.8779295882957798,0.855171982721927
17,NORM 17,0.8204997913971608,0.8954260032654157
18,NORM 18,0.8676055357286472,0.8446513322864497
19,NORM 19,0.7605785618416653,0.806994929115615
20,NORM 20,0.8374855478936061,0.8273201953037622
21,NORM 21,0.7842217206985457,0.8674660561448162
22,NORM 22,0.8658061337816486,0.8562734183317783
23,NORM 23,0.8226129242635654,0.8372686513669855
24,NORM 24,0.8414307230187992,0.8805118825573602
25,NORM 25,0.8088531510502145,0.8819318669019531
26,NORM 26,0.7853353345725009,0.829651802832436
27,NORM 27,0.7910859469903776,0.9117384829789945
28,NORM 28,0.8698702185689632,0.9036441340321288
29,NORM 29,0.756848979500896,0.8893009920298022
